"primarytitle","startyear","avgrating","numvotes","weighted_rank"
"Whose Line Is It Anyway?",1998,8.5,41314,7.9
"Star Trek: The Original Series",1966,8.3,76909,7.9
"M*A*S*H",1972,8.4,52448,7.9
"Blackadder the Third",1987,8.6,42341,7.9
"SpongeBob SquarePants",1999,8.2,88874,7.9
"Justice League",2001,8.5,43373,7.9
"Berserk",1997,8.7,32054,7.9
"Veronica Mars",2004,8.3,69126,7.9
"Samurai Champloo",2004,8.5,43609,7.9
"Skins",2007,8.2,77919,7.9
"American Horror Story",2011,8.0,289625,7.9
"Undercover",2011,8.9,26615,7.9
"Orange Is the New Black",2013,8.0,286101,7.9
"Black Sails",2014,8.2,97235,7.9
"Bosch",2014,8.4,56733,7.9
"The Jinx: The Life and Deaths of Robert Durst",2015,8.6,41728,7.9
"Master of None",2015,8.3,70943,7.9
"Killing Eve",2018,8.2,95647,7.9
"Watchmen",2019,8.2,102580,7.9
"Father Ted",1995,8.6,37967,7.9
"Criminal Minds",2005,8.0,174106,7.9
"What We Do in the Shadows",2019,8.5,43756,7.9
"Generation Kill",2008,8.5,49940,7.9
"Bodyguard",2018,8.1,105065,7.9
"Das Boot",1985,8.8,27911,7.9
"Atypical",2017,8.3,75013,7.9
"Dr. Horribles Sing-Along Blog",2008,8.5,42432,7.9
"The End of the F***ing World",2017,8.1,160627,7.9
"Godless",2017,8.3,57785,7.9
"The Umbrella Academy",2019,8.0,179008,7.9
"Legion",2017,8.2,85499,7.9
"The Good Wife",2009,8.3,70577,7.9
"Poirot",1989,8.6,40493,7.9
"Star Wars: The Clone Wars",2008,8.3,73743,7.9
"The Knick",2014,8.5,45637,7.9
"Misfits",2009,8.2,96277,7.9
"The Killing",2011,8.2,103227,7.9
"Young Justice",2010,8.6,34426,7.9
"The Blacklist",2013,8.0,216113,7.9
"Normal People",2020,8.5,48667,7.9
